REGION,FUEL,YEAR,VALUE
REGION1,SEst,2015,3.283
REGION1,SEst,2016,3.283
REGION1,SEst,2017,3.283
REGION1,SEst,2018,3.283
REGION1,SEst,2019,3.283
REGION1,SEst,2020,3.283
REGION1,SEst,2021,3.283
REGION1,SEst,2022,3.283
REGION1,SEst,2023,3.283
REGION1,SEst,2024,3.283
REGION1,SEst,2025,3.283
REGION1,SEst,2026,3.283
REGION1,SEst,2027,3.283
REGION1,SEst,2028,3.283
REGION1,SEst,2029,3.283
REGION1,SEst,2030,3.283
REGION1,SEst,2031,3.283
REGION1,SEst,2032,3.283
REGION1,SEst,2033,3.283
REGION1,SEst,2034,3.283
REGION1,SEst,2035,3.283
REGION1,SEst,2036,3.283
REGION1,SEst,2037,3.283
REGION1,SEst,2038,3.283
REGION1,SEst,2039,3.283
REGION1,SEst,2040,3.283
REGION1,SEst,2041,3.283
REGION1,SEst,2042,3.283
REGION1,SEst,2043,3.283
REGION1,SEst,2044,3.283
REGION1,SEst,2045,3.283
REGION1,SEst,2046,3.283
REGION1,SEst,2047,3.283
REGION1,SEst,2048,3.283
REGION1,SEst,2049,3.283
REGION1,SEst,2050,3.283
REGION1,SEst,2051,3.283
REGION1,SEst,2052,3.283
REGION1,SEst,2053,3.283
REGION1,SEst,2054,3.283
REGION1,SEst,2055,3.283
REGION1,SEst,2056,3.283
REGION1,SEst,2057,3.283
REGION1,SEst,2058,3.283
REGION1,SEst,2059,3.283
REGION1,SEst,2060,3.283
REGION1,SEce,2015,2.37
REGION1,SEce,2016,2.384
REGION1,SEce,2017,2.398
REGION1,SEce,2018,2.412
REGION1,SEce,2019,2.426
REGION1,SEce,2020,2.44
REGION1,SEce,2021,2.454
REGION1,SEce,2022,2.468
REGION1,SEce,2023,2.482
REGION1,SEce,2024,2.496
REGION1,SEce,2025,2.51
REGION1,SEce,2026,2.524
REGION1,SEce,2027,2.538
REGION1,SEce,2028,2.552
REGION1,SEce,2029,2.566
REGION1,SEce,2030,2.58
REGION1,SEce,2031,2.594
REGION1,SEce,2032,2.608
REGION1,SEce,2033,2.622
REGION1,SEce,2034,2.636
REGION1,SEce,2035,2.65
REGION1,SEce,2036,2.664
REGION1,SEce,2037,2.678
REGION1,SEce,2038,2.692
REGION1,SEce,2039,2.706
REGION1,SEce,2040,2.72
REGION1,SEce,2041,2.734
REGION1,SEce,2042,2.748
REGION1,SEce,2043,2.762
REGION1,SEce,2044,2.776
REGION1,SEce,2045,2.79
REGION1,SEce,2046,2.804
REGION1,SEce,2047,2.818
REGION1,SEce,2048,2.832
REGION1,SEce,2049,2.846
REGION1,SEce,2050,2.86
REGION1,SEce,2051,2.874
REGION1,SEce,2052,2.888
REGION1,SEce,2053,2.902
REGION1,SEce,2054,2.916
REGION1,SEce,2055,2.93
REGION1,SEce,2056,2.944
REGION1,SEce,2057,2.958
REGION1,SEce,2058,2.972
REGION1,SEce,2059,2.986
REGION1,SEce,2060,3